access-date,alma_mater,alt,appointer,archive-date,archive-url,attributes,awards,baptised,beatified_by,beatified_date,beatified_place,bgcolour,birth_date,birth_name,birth_place,c,canonized_by,canonized_date,canonized_place,caption,child,children,citizenship,date,death_ billydate,death_cause,death_date,death_place,df,discipline,education,embed,embedded,family,father,feast_day,field,first,honorific_prefix,honorific_suffix,image,image size,image_size,image_upright,imagesize,influenced,influences,institutions,known_for,last,location,major_shrine,major_works,mi,module,mother,movement,name,nationality,native_name,native_name_lang,notable works,notable_works,occupation,office,organization,other_names,p,parents,partner,party,patronage,patrons,practice,practice_name,publisher,relatives,resting_place,resting_place_coordinates,showorder,signature,signature_alt,signature_size,signature_type,significant_advance,significant_awards,significant_buildings,significant_design,significant_projects,spouse,style,term_end,term_start,termlabel,title,training,url,url-status,venerated_in,w,website,work,works,y,years_active
,,,,,,,,,,,,,{{birth date|df=yes|1452|04|15}},Leonardo di ser Piero da Vinci,"possibly [[Anchiano]],{{efn|name=Birthplace}} [[Vinci, Tuscany|Vinci]], {{awrap|[[Republic of Florence]]}}",,,,,"This portrait attributed to [[Francesco Melzi]], {{circa|1515–1518}}, is the only certain contemporary depiction of Leonardo.<ref>{{cite web |title=A portrait of Leonardo c. 1515–18 |publisher=[[Royal Collection Trust]] |url=https://www.rct.uk/collection/912726/a-portrait-of-leonardo |access-date=26 September 2020 |archive-url=https://web.archive.org/web/20201123161405/https://www.rct.uk/collection/912726/a-portrait-of-leonardo |archive-date=23 November 2020}}</ref>{{sfn|Zöllner|2019|p=20}}",,,,,,,{{death date and age|df=yes|1519|5|2|1452|4|15}},"[[Clos Lucé]], [[Amboise]], {{awrap|[[Kingdom of France]]}}",,,Studio of [[Andrea del Verrocchio]],,,[[Da Vinci family|Da Vinci]],,,,,,,Francesco Melzi - Portrait of Leonardo.png<!-- Please consult previous discussions on the talk page before changing this image. It is his only certain contemporary likeness. -->,,,,,,,,{{hlist|Painting|drawing|engineering|anatomical studies|hydrology|botany|optics|geology}},,,,,,,,[[High Renaissance]],Leonardo da Vinci,,,,,{{plainlist| * ''[[Virgin of the Rocks]]'' ({{circa|1483–1493}}) * ''[[Lady with an Ermine]]'' ({{circa|1489–1491|lk=no}}) * ''[[Vitruvian Man|The Vitruvian Man]]'' ({{circa|1490|lk=no}}) * ''[[The Last Supper (Leonardo)|The Last Supper]]'' ({{circa|1495–1498|lk=no}}) * ''[[Mona Lisa]]'' ({{circa|1503–1516|lk=no}})}},,,,,,,,,,,,,,,[[Château d'Amboise]],,,Firma de Leonardo Da Vinci.svg,Signature written in ink in a flowing script,200px }},,,,,,,,,,,,,,,,,,,,,,{{circa|1470–1519}}
,,,,,,,,,,,,,6 March 1475,Michelangelo di Lodovico Buonarroti Simoni,"[[Caprese Michelangelo|Caprese]]<!-- near [[Arezzo]]-->, [[Republic of Florence]]",,,,,"Portrait by [[Daniele da Volterra]], {{circa|1545}}",,,,,,,{{death date and age|df=yes|1564|2|18|1475|3|6}},"[[Rome]], [[Papal States]]",,,,,,,,,{{hlist,,,,Michelangelo Daniele da Volterra (dettaglio).jpg,,,,,,,,,,,,,,{{Infobox person|child=yes,,{{hlist,Michelangelo,,,,,,,,,,,,,,,,,,,,,,,Michelangelo Signature2.svg }},,,,,,,,,,,,,,,,,,,,,,{{ubl,,
,,,,,,,,,,,,,"March 28 or April 6, 1483",Raffaello Santi (or Sanzio),"[[Urbino]], [[Duchy of Urbino]]",,,,,"{{lower|0.15em|Presumed self-portrait of Raphael<ref>Jones and Penny, {{p.|171}}. The portrait of Raphael is probably ""a later adaptation of the one likeness which all agree on"": that in ''[[The School of Athens]]'', vouched for by [[Giorgio Vasari|Vasari]].</ref>}}",,,,,,,"April 6, 1520 (aged 37)","[[Rome]], [[Papal States]]",,,,,,,,,{{flatlist| *[[Painting]] *[[architecture]] }},,,,Raffaello Sanzio.jpg,,,,,,,,,,,,,,,,,Raphael,,,,,,,,,,,,,,,,,,,,"The [[Pantheon, Rome|Pantheon]], [[Rome]]",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{c.|1386}},Donato di Niccolò di Betto Bardi,[[Republic of Florence]],,,,,"Donatello, an imagined 16th-century portrait by an unknown artist<ref>{{cite web |title=Cinq maîtres de la Renaissance florentine : Giotto, Uccello, Donatello, Manetti, Brunelleschi |trans-title=Five masters of the Florentine renaissance |author=Unknown master |website=[[Le Louvre]] |date=19 December 2023 |url=https://collections.louvre.fr/en/ark:/53355/cl010065510}}</ref>{{efn|The former attribution to [[Paolo Uccello]] is no longer accepted.}}",,,,,,,{{death date and age|df=y|1466|12|13|1386}},Republic of Florence,,,,,,,,,Sculpture,,,,"Five Famous Men of the Florentine Renaissance, Donatello (cropped).jpg",,,,,,,,,,,,,,,,[[Early Renaissance]],Donatello,[[Republic of Florence|Florentine]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"''[[Saint George (Donatello)|Saint George]]'' <br> ''[[David (Donatello, bronze)|David]]'' <br> ''[[Equestrian Monument of Gattamelata]]'' }}",,
,,,,,,,,,,,,,"{{circa|1445}}<ref name=""Ettl"">Ettlingers, 7. Other sources give 1446, 1447 or 1444–45.</ref><!-- Please do not change this because there is no reliable source for his date of birth. If you believe you have confirmable date, please present it at the article talk page first. -->",Alessandro di Mariano di Vanni Filipepi,"[[Florence]], [[Republic of Florence]] {{small|(now Italy)}}",,,,,"Probable [[self-portrait]] of Botticelli, in his ''[[Adoration of the Magi (Botticelli, 1475)|Adoration of the Magi]]'' (1475)",,,,,,,"{{death date and age|1510|5|17|1445|||mf=y}}<ref>{{cite web | title=Sandro Botticelli – Biography and Legacy |url=https://www.theartstory.org/artist/botticelli-sandro/life-and-legacy/ | website=theartstory.org}}.</ref><ref>{{cite web |title=Botticelli in the Florence of Lorenzo the Magnificent | first1=Bruce |last1=Edelstein |publisher=[[Sotheby's]] |date=Dec 21, 2020 | url=https://www.sothebys.com/en/articles/botticelli-in-the-florence-of-lorenzo-the-magnificent}}.</ref>","Florence, Republic of Florence",,,,,,,,,Painting,,,,Sandro Botticelli 083.jpg,,,,,,,,,,,,,,{{Infobox person|child=yes,,[[Italian Renaissance]],Sandro Botticelli,Italian,,,,,,,,,,,,,,,,,,,,,,Botticelli Sandro 1444-1510 01 deWP.jpg}} }},,,,,,,,,,,,,,,[[Filippo Lippi]],,,,,,,''[[Primavera (painting)|Primavera]]'' <br> ''[[The Birth of Venus]]''<br>''[[Adoration of the Magi of 1475 (Botticelli)|The Adoration of the Magi]]'' <br> [[List of works by Sandro Botticelli|Other works]],,
,,,,,,,,,,,,,29 September 1571,Michelangelo Merisi (or Amerighi) da Caravaggio,"[[Milan]], [[Duchy of Milan]]<ref name=carm>{{cite news|last1=Carminati|first1=Marco|title=Caravaggio da Milano|url=http://www.ilsole24ore.com/art/SoleOnLine4/Tempo%20libero%20e%20Cultura/2007/06/carminati-caravaggio.shtml?uuid=4d415878-19a4-11dc-ac19-00000e251029|access-date=28 July 2016|date=25 February 2007|language=it}}</ref>",,,,,"Chalk portrait of Caravaggio by [[Ottavio Leoni]], {{circa|1621}}",,,,,,,{{death date and age|1610|07|18|1571|09|29|df=y}},"[[Porto Ercole]],<br/>[[State of the Presidi]]",,,,,,,,,[[Painting]],,,,"Bild-Ottavio Leoni, Caravaggio.jpg",,,0.9,,,,,,,,,,,{{Infobox person|child=yes,,,Caravaggio,,,,,,,,,,,,,,,Cardinal [[Francesco Maria del Monte]]<br/>[[Alof de Wignacourt]],,,,,,,,Caravaggio autograph.svg}} }},,,,,,,,,,,,,,,[[Simone Peterzano]],,,,,,,{{unbulleted list  Cardsharp (I Bari) is Caravaggio’s masterpiece.,,
,,,,,,,,,,,,,{{circa|1488/90}},Tiziano Vecellio,"[[Pieve di Cadore]], [[Republic of Venice]]",,,,,"''[[Self-Portrait (Titian, Madrid)|Self-Portrait]]'', {{circa|1567}}, now housed in {{Lang|es|[[Museo del Prado]]|italic=no}} in [[Madrid]]",,,,,,,{{death date and age|1576|8|27|1488|df=y}},"[[Venice]], Republic of Venice",,,,,,,,,,,,,Tizian 090.jpg,,,1,,,,,,,,,,,,,[[Venetian school (art)|Venetian school]],Titian,[[Italians|Italian]],,,,,[[Artist]],,,,,,,,,,,,,,,,,"Titian, Tiziano Vecellio 1488-1576 01 Signature.jpg }}",,,,,,,,,,,,,,,,,,,,,,{{unbulleted list,,
,,,,,,,,,,,,,28 June 1577,,"[[Siegen]], [[County of Nassau|Nassau-Dillenburg]], [[Holy Roman Empire]]",,,,,"''[[Self-Portrait (Rubens, Antwerp)|Self-Portrait]]'', [[Rubenshuis]] ({{circa|1623|1630}})",,,,,,,{{death date and age|df=yes|1640|5|30|1577|6|28}},"[[Antwerp]], [[Spanish Netherlands]]",,,,,,,,,"[[Painting]], [[drawing]], tapestry design, print design",,[[Sir]],,Peter Paul Rubens - Self-portrait - RH.S.180 - Rubenshuis (after restoration).jpg,,,,,,,,,,,,,,,,[[Flemish Baroque painting|Flemish]] [[Baroque]],Peter Paul Rubens,[[Flemish people|Flemish]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * {{Marriage|[[Isabella Brant]]|1609|1626|end=died}} * {{Marriage|[[Helena Fourment]]|1630<!--Don't add his death per template instructions-->}} }},,,,,,[[Tobias Verhaecht]]<br />[[Adam van Noort]]<br />[[Otto van Veen]],,,,,,,,,
,,,,,,,,,,,,,"{{Birth date|df=y|1606|7|15}}<ref name=""BY"">Or possibly 1607 as on 10 June 1634 he himself claimed to be 26 years old. See [http://www.codart.nl/news/82/ Is the Rembrandt Year being celebrated one year too soon? One year too late?] {{Webarchive|url=https://web.archive.org/web/20101121211856/http://codart.nl/news/82/ |date=21 November 2010 }} and {{in lang|nl}} J. de Jong, [http://www.nd.nl/artikelen/2006/februari/03/rembrandts-geboortejaar-een-jaar-te-vroeg-gevierd Rembrandts geboortejaar een jaar te vroeg gevierd] {{Webarchive|url=https://web.archive.org/web/20100718111837/http://www.nd.nl/artikelen/2006/februari/03/rembrandts-geboortejaar-een-jaar-te-vroeg-gevierd |date=18 July 2010 }} for sources concerning Rembrandt's birth year, especially supporting 1607. However, most sources continue to use 1606.</ref>",Rembrandt Harmenszoon van Rijn,"[[Leiden]], Dutch Republic",,,,,''[[Self-Portrait with Beret and Turned-Up Collar]]'' (1659),,"2, including [[Titus van Rijn|Titus]]",,,,,{{Death date and age|1669|10|4|1606|7|15|df=y}},"[[Amsterdam]], Dutch Republic",,,,,,,,,"[[Painting]], [[printmaking]], [[drawing]]",,,,Rembrandt van Rijn - Self-Portrait - Google Art Project.jpg,,220,,,,,,,,,,,,{{Infobox person|child=yes,,[[Dutch Golden Age painting|Dutch Golden Age]]<br />[[Baroque]],Rembrandt,,,,,,,,,,,,,,,,,,,,,,,Rembrandt autograph.svg}} }},,,,,,,,,{{marriage|[[Saskia van Uylenburgh]]|1634|1642|end=died}},,,,,,[[Jacob van Swanenburg]] <br /> [[Pieter Lastman]],,,,,,,"[[Self-portraits by Rembrandt|Self-portraits]]<br />''[[The Anatomy Lesson of Dr. Nicolaes Tulp]]'' (1632)<br />''[[The Storm on the Sea of Galilee]]'' (1633)<br />''[[Belshazzar's Feast (Rembrandt)|Belshazzar's Feast]]'' (1635–1638)<br />''[[The Night Watch]]'' (1642)<br />''[[The Hundred Guilder Print]]'' (etching, c.&nbsp;1647–1649)<br />''[[Bathsheba at Her Bath (Rembrandt)|Bathsheba at Her Bath]]'' (1654)<br />''[[Syndics of the Drapers' Guild]]'' (1662)<br />''[[The Return of the Prodigal Son (Rembrandt)|The Return of the Prodigal Son]]'' (1661–1669)",,
,,,,,,,,,,,,,[[Baptism|baptised]] 31 October 1632,Johannes Vermeer,"[[Delft]], [[County of Holland]], [[Dutch Republic]]",,,,,"Detail of the painting ''[[The Procuress (Vermeer)|The Procuress]]'' ({{circa|1656}}), believed to be a [[self-portrait]] by Vermeer<ref>{{cite web |url=http://www.essentialvermeer.com/lost_vermeer_self_portrait_baron_rolin/procuress_self-portrait.html |author-first=Jon |author-last=Boone |title=The Procuress: Evidence for a Vermeer Self-Portrait |access-date=13 September 2010 |work=Essential Vermeer |archive-date=3 May 2021 |archive-url=https://web.archive.org/web/20210503202933/http://www.essentialvermeer.com/lost_vermeer_self_portrait_baron_rolin/procuress_self-portrait.html |url-status=dead }}</ref>",,,,,,,{{Death date and age|1675|12|15|1632|10|31|df=yes}},"Delft, County of Holland, Dutch Republic",,,,,,,,,Painting,,,,Cropped version of Jan Vermeer van Delft 002.jpg,,,,,,,,,,,,,,,,[[Dutch Golden Age painting|Dutch Golden Age]] <br/> [[Baroque painting|Baroque]],Johannes Vermeer,,,,,,,,,,,,,,,,,,,,,,,Vermeer autograph.svg }},,,,,,,,,[[Catharina Bolnes]],,,,,,,,,,,,,"[[List of paintings by Johannes Vermeer|34 works universally attributed]]<ref name=""Janson"">{{cite web |author-first=Jonathan |author-last=Janson |url=http://www.essentialvermeer.com/vermeer_painting_part_one.html |work=Essential Vermeer |title=Complete Vermeer Catalogue & Tracker |access-date=16 June 2010}}</ref>",,
,,,,,,,,,,,,,{{birth date|df=yes|1840|11|14}},Oscar-Claude Monet,"Paris, France",,,,,Monet {{Circa|1899}},,{{cslist|[[Jean Monet (son of Claude Monet)|Jean]]|[[Michel Monet|Michel]]}},,,,,{{death date and age|df=yes|1926|12|5|1840|11|14}},"[[Giverny]], France",,,{{cslist|[[Académie Suisse]]|{{Lang|fr|[[Beaux-Arts de Paris]]|italic=no}}}},,,,,,Painting,,,,Claude Monet 1899 Nadar crop.jpg,,,,,,,,,,,,,,{{Infobox person|child=yes,,[[Impressionism]],Claude Monet,<!-- use only when necessary per [[WP:INFONAT]] -->,,,,,,,,,,,,,,{{cslist|[[Gustave Caillebotte]]|[[Ernest Hoschedé]]|[[Georges Clemenceau]]|[[Sergei Shchukin]]}},,,,,,,,Claude Monet Signature.svg}} }},,,,,,,,,{{ubl|{{marriage|[[Camille Doncieux]]|1870|1879|reason=died}}|{{marriage|[[Alice Hoschedé]]|1892|1911|reason=died}}}},,,,,,,,,,,,,"{{ubl|''[[Impression, Sunrise]]''|[[Rouen cathedral (Monet painting)|''Rouen Cathedral'' series]]|[[London Parliament (Monet painting)|''London Parliament'' series]]|''[[Water Lilies (Monet series)|Water Lilies]]''|''[[Haystacks (Monet series)|Haystacks]]''|''[[Poplars (Monet series)|Poplars]]''|[[List of paintings by Claude Monet|List of paintings]]}}",,1865–1926
,,,,,,,,,,,,,{{birth date|df=yes|1834|7|19}},Hilaire-Germain-Edgar De Gas,"[[Paris]], France",,,,,"Self-portrait (''Degas Saluant''), 1863",,,,,,,{{death date and age|df=yes|1917|9|27|1834|7|19}},"Paris, France",,,,,,,,,"Painting, sculpture, drawing",,,,Self-portrait by Edgar Degas.jpg,,,1,,,,,,,,,,,,,[[Impressionism]],Edgar Degas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{plainlist| * {{Nowrap|''[[The Bellelli Family]]'' (1858–1867)}} * ''[[A Cotton Office in New Orleans]]'' (1873) * ''[[The Ballet Class (Degas, Musée d'Orsay)|The Ballet Class]]'' (1871–1874) * ''[[L’Absinthe|The Absinthe]]'' (1875–1876) * ''[[The Tub]]'' (1886) }}",,
,,Photograph of Paul Cézanne,,,,,,,,,,,{{Birth date|df=yes|1839|1|19}},,"[[Aix-en-Provence]], France",,,,,Cézanne in 1899,,,,,,,{{Death date and age|df=yes|1906|10|22|1839|1|19}},"Aix-en-Provence, France",,,,,,,,,,,,,Paul-Cezanne.jpg,,,,,,,,Painting,,,,,,,,"[[Impressionism]], [[Post-Impressionism]]",Paul Cézanne,French,,,,"''[[Mont Sainte-Victoire (Cézanne)|Mont Sainte-Victoire]]'' (1885–1906)<br />''Apothéose de Delacroix'' (1890–1894)<br />{{lang|fr|[[Rideau, Cruchon et Compotier]]}} (1893–94)<br />''[[The Card Players]]'' (1890–1895)<br />''[[The Bathers (Cézanne)|The Bathers]]'' (1898–1905)<br />''[[Pyramid of Skulls]]'' ({{Circa|1901}})",,,,,,,,,,,,,,,[[Saint-Pierre Cemetery (Aix-en-Provence)|Saint-Pierre Cemetery]],,,Cezanne autograph.svg }},,,,,,,,,,,,,,,[[Académie Suisse]]<br />[[Aix-Marseille University]],,,,,,,,,
,,"A head and shoulders portrait of a thirty-something man, with a red beard, facing to the left",,,,,,,,,,,{{birth date|1853|3|30|df=y}},Vincent Willem van Gogh,"[[Zundert]], Netherlands",,,,,"''[[Portraits of Vincent van Gogh#Paris 1887|Self-Portrait]]'', {{circa}}1887, [[Art Institute of Chicago]]",,,,,,[[Death of Vincent van Gogh|Self-inflicted gunshot wound to the chest]],{{death date and age|df=yes|1890|7|29|1853|3|30}},"[[Auvers-sur-Oise]], France",,,{{ubl|[[Royal Academy of Fine Arts (Antwerp)|Royal Academy of Fine Arts]]|{{lang|fr|[[Académie Royale des Beaux-Arts]]|italic=no}}}},,,[[Theo van Gogh (art dealer)|Theo van Gogh]] (brother)<br/>[[Wil van Gogh]] (sister),,,,,,,Vincent van Gogh - Self-Portrait - Google Art Project (454045).jpg,,,,,,,,,,,,,,,,[[Post-Impressionism]],Vincent van Gogh,,,,,{{ubl|''[[Sunflowers (van Gogh series)|Sunflowers]]'' (1887)|''[[Bedroom in Arles]]'' (1888)|''[[The Starry Night]]'' (1889)|''[[Wheatfield with Crows]]'' (1890)|''[[At Eternity's Gate|Sorrowing Old Man]]'' (1890)}},,,,,,,,,,,,,,,,,,Vincent van Gogh signature (Vincent).svg }},,,,,,,,,,,,,,,,,,,,,,,,1881–1890
,,Black-and-white photo of Picasso in a coat,,,,,{{plainlist| * [[Lenin Peace Prize]]}},,,,,,{{birth date|df=yes|1881|10|25}},"Pablo Diego José Francisco de Paula Juan Nepomuceno María de los Remedios Cipriano de la Santísima Trinidad Ruiz y Picasso<ref name=""CatRez"">{{cite book |last1=Daix |first1=Pierre |title=Picasso, 1900–1906: catalogue raisonné de l'oeuvre peint |year=1988 |publisher=Editions Ides et Calendes |pages=1–106 |url=https://books.google.com/books?id=MlNGAQAAIAAJ |language=fr}}</ref>","[[Málaga]], Spain",,,,,Picasso in 1962,,{{plainlist| * [[Paulo Picasso]] * [[Maya Widmaier-Picasso]] * [[Claude Picasso]] * [[Paloma Picasso]] }},,,,,{{death date and age|df=yes|1973|4|8|1881|10|25}},"[[Mougins]], France",,,,,,{{plainlist| * [[Marina Picasso]] (granddaughter) * [[Bernard Ruiz-Picasso]] (grandson)}},[[José Ruiz y Blasco]],,"[[Painting]], [[drawing]], [[sculpture]], [[printmaking]], [[Ceramics (art)|ceramics]], [[Scenic design|stage design]], [[writing]]",,,,Pablo picasso.jpg,,,,,,,,,,,,,,{{Listen|pos=center|embed=yes|filename=10 PABLO PICASO.ogg|title=Pablo Picasso's voice|type=speech|description=Recorded c. 1960s}} }} }},María Picasso y López,"[[Cubism]], [[Surrealism]]",Pablo Picasso,,,,,,,,,,,,{{plainlist| * [[Fernande Olivier]] (1905–1912) * [[Eva Gouel]] (1912–1915) * [[Gabrielle Depeyre]] (1915–1916) * Irène Lagut (1916–1917) * [[Marie-Thérèse Walter]] (1927–1935) * [[Dora Maar]] (1935–1943) * [[Françoise Gilot]] (1943–1953)}},,,{{plainlist| * [[Eugenia Errázuriz]] * [[Sergei Shchukin]] * [[Gertrude Stein]]}},,,,,[[Château of Vauvenargues]],{{Coord|43.554142|5.604438|region:FR-13_type:landmark}},,Picasso Signatur-DuMont 1977.svg,,,,,,,,,{{plainlist| * {{marriage|[[Olga Khokhlova]]|1918|1941|end=sep.}} * {{marriage|[[Jacqueline Roque]]|1961}}}},,,,,,{{plainlist| * [[Real Academia de Bellas Artes de San Fernando]]}},,,,,,,{{plainlist| * ''[[La Vie (painting)|La Vie]]'' (1903) * ''[[The Old Guitarist]]'' (1903–1904) * ''[[Family of Saltimbanques]]'' (1905) * ''[[Les Demoiselles d'Avignon]]'' (1907) * ''[[Portrait of Daniel-Henry Kahnweiler]]'' (1910) * ''[[Three Musicians (Picasso)|Three Musicians]]'' (1921) * ''[[Girl before a Mirror]]'' (1932) * ''[[Le Rêve (Picasso)|Le Rêve]]'' (1932) * ''[[Guernica (Picasso)|Guernica]]'' (1937) * ''[[The Weeping Woman]]'' (1937) * [[Chicago Picasso]] (1967)}},,1897–1973
,,,,,,,,,,,,,{{birth date|1904|5|11|df=y}},Salvador Domingo Felipe Jacinto Dalí Doménech{{efn|name=name}},"[[Figueres]], Catalonia, [[Restoration (Spain)|Spain]]",,,,,Dalí in 1939,,,,,,,{{death date and age|1989|01|23|1904|05|11|df=y}},"Figueres, Catalonia, Spain",,,,,,,,,"Painting, drawing, photography, sculpture, writing, film, and jewelry",,"[[The Most Excellent]]<ref>{{Cite web |url=http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1989-4234 |title=Boletín Oficial del Estado, the official gazette of the Spanish government |access-date=31 July 2010 |archive-date=30 June 2012 |archive-url=https://archive.today/20120630120254/http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1989-4234 |url-status=dead }}</ref>",[[Order of Isabella the Catholic|GYC]],Salvador Dalí 1939.jpg,,,,,,,,,,,,,,,,"[[Cubism]], [[Dada]], [[Surrealism]]",,,,,,,,,,,,,,,,,,,,,"[[Crypt]] at [[Dalí Theatre and Museum]], Figueres",,,Salvador dali signature.svg }},,,,,,,,,{{marriage|[[Gala Dalí]]|1934|1982|end=died}},,,,,,"[[Real Academia de Bellas Artes de San Fernando|San Fernando School of Fine Arts]], Madrid, Spain",,,,,,,{{plainlist| * ''[[The Persistence of Memory]]'' (1931) * ''[[Soft Construction with Boiled Beans (Premonition of Civil War)]]'' (1936) * ''[[Dream Caused by the Flight of a Bee Around a Pomegranate a Second Before Awakening]]'' (1944) * ''[[Christ of Saint John of the Cross]]'' (1951) * ''[[Galatea of the Spheres]]'' (1952) * ''[[Crucifixion (Corpus Hypercubus)]]'' (1954) * ''[[The Ecumenical Council (painting)|The Ecumenical Council]]'' (1960) * ''[[The Hallucinogenic Toreador]]'' (1970)}},,
,,,,,,,,,,,,,{{Birth date|df=yes|1869|12|31}},Henri Émile Benoît Matisse,"[[Le Cateau-Cambrésis]], France<!--See MOS:GEOLINK-->",,,,,Matisse in 1913,,"3, including [[Pierre Matisse|Pierre]]",,,,,{{Death date and age|df=yes|1954|11|3|1869|12|31}},"[[Nice]], France",,,,,,,,,{{hlist|Painting|[[printmaking]]|sculpture|drawing|[[collage]]}},,,,"Henri Matisse, 1913, photograph by Alvin Langdon Coburn.jpg",,,,,,,,,,,,,,{{Infobox person|child=yes,,"[[Fauvism]], [[Modernism]], [[Post-Impressionism]]",Henri Matisse,,,,,,,,,,,,,,,"[[Sergei Shchukin]], [[Gertrude Stein]], [[Etta Cone]], [[Claribel Cone]], [[Sarah Stein]], [[Albert C. Barnes]]",,,,,,,,Matisse autograph.svg}} }},,,,,,,,,{{marriage|Amélie Noellie Parayre|1898|1939|end=div}},,,,,,"{{Lang|fr|[[Académie Julian]]|italic=no}}, [[William-Adolphe Bouguereau]], [[Gustave Moreau]]",,,,,,,''[[Woman with a Hat]]'' (1905)<br />''[[Le bonheur de vivre|The Joy of Life]]'' (1906)<br />''[[Blue Nude (Souvenir de Biskra)|Nu bleu]]'' (1907)<br />''[[Dance (Matisse)|La Danse]]'' (1909)<br />''[[The Red Studio|L'Atelier Rouge]]'' (1911)<br />''[[The Snail]]'' (1953),,
,,,,,,,,,,,,,{{birth date|1912|1|28|mf=y}},Paul Jackson Pollock,"[[Cody, Wyoming]], U.S.",,,,,Pollock's passport picture,,,,,,,{{death date and age|1956|8|11|1912|1|28|mf=y}},"[[Springs, New York]], U.S.",,,[[Art Students League of New York]],,,,,,,,,,Jackson Pollock's passport (cropped).jpg,,,,,,,,[[Painting]],,,,,,,,[[Abstract expressionism]],Jackson Pollock,,,,"* ''[[Number 17A]]'' (1948) * ''[[No. 5, 1948]]'' (1948) * ''[[Mural on Indian Red Ground]]'' (1950) * ''[[Autumn Rhythm (Number 30)|Autumn Rhythm]]'' (1950) * ''[[Convergence (Pollock)|Convergence]]'' (1952) * [[Blue Poles|''Blue Poles'' (''Number 11, 1952'')]] (1952) * ''[[The Deep (painting)|The Deep]]'' (1953) }}",,,,,,,,,,,,,,,,,,,Jackson Pollock Signature.svg,,,,,,,,,{{marriage|[[Lee Krasner]]|1945}},,,,,,,,,,,,,,,
